"2019-02",23
"2019-03",23
"2019-04",23
"2019-05",23
"2019-06",23
"2019-07",23
"2019-08",23
"2014-11",23
"2014-12",23
"2015-01",23
"2015-02",23
"2015-03",23
"2015-04",23
"2015-05",23
"2020-04",23
"2020-05",23
"2020-06",23
"2020-07",23
"2020-08",23
"2020-09",23
"2020-10",23
"2012-09",23
"2012-10",23
"2012-11",23
"2012-12",23
"2013-01",23
"2013-02",23
"2010-01",23
"2010-02",23
"2010-03",23
"2010-04",23
"2010-05",23
"2010-06",23
"2010-07",23
"2018-01",23
"2018-02",23
"2018-03",23
"2018-04",23
"2018-05",23
"2018-06",23
"2018-07",23
"2013-03",23
"2013-04",23
"2013-05",23
"2013-06",23
"2013-07",23
"2013-08",23
"2019-09",23
"2019-10",23
"2019-11",23
"2019-12",23
"2020-01",23
"2020-02",23
"2020-03",23
"2014-04",23
"2014-05",23
"2014-06",23
"2014-07",23
"2014-08",23
"2014-09",23
"2014-10",23
"2016-12",23
"2017-01",23
"2017-02",23
"2017-03",23
"2017-04",23
"2017-05",23
"2017-06",23
"2021-06",23
"2021-07",23
"2021-08",23
"2021-09",23
"2021-10",23
"2021-11",23
"2012-03",23
"2012-04",23
"2012-05",23
"2012-06",23
"2012-07",23
"2012-08",23
"2011-02",23
"2011-03",23
"2011-04",23
"2011-05",23
"2011-06",23
"2011-07",23
"2011-08",23
"2021-12",23
"2011-09",23
"2011-10",23
"2011-11",23
"2011-12",23
"2012-01",23
"2012-02",23
"2013-09",23
"2013-10",23
"2013-11",23
"2013-12",23
"2014-01",23
"2014-02",23
"2014-03",23
"2020-11",23
"2020-12",23
"2021-01",23
"2021-02",23
"2021-03",23
"2021-04",23
"2021-05",23
"2016-06",23
"2016-07",23
"2016-08",23
"2016-09",23
"2016-10",23
"2016-11",23
"2015-12",23
"2016-01",23
"2016-02",23
"2016-03",23
"2016-04",23
"2016-05",23
"2015-06",23
"2015-07",23
"2015-08",23
"2015-09",23
"2015-10",23
"2015-11",23
"2017-07",23
"2017-08",23
"2017-09",23
"2017-10",23
"2017-11",23
"2017-12",23
"2018-08",23
"2018-09",23
"2018-10",23
"2018-11",23
"2018-12",23
"2019-01",23
"2010-08",23
"2010-09",23
"2010-10",23
"2010-11",23
"2010-12",23
"2011-01",23
